Mouse,Sex,GSH/GSSG,Target/Ref
16,M,49.507,0.00000
18,M,46.196,0.01350
22,M,48.607,0.00035
27,M,46.492,0.00053
31,M,44.151,NA
32,M,52.134,0.00002
33,M,51.248,0.00011
35,M,49.413,0.00000
41,M,45.929,0.00000
42,M,43.784,0.00000
46,M,38.543,0.00000
50,F,45.984,0.00210
68,F,52.912,NA
73,F,44.661,0.00414
78,F,52.989,0.00470
79,F,36.444,NA
80,F,46.432,0.00197
83,F,45.826,0.00243
84,F,39.173,0.00867
89,F,40.466,0.03010
91,F,35.74,0.00236
92,F,47.314,0.00258
93,F,45.549,0.10460
97,F,31.894,0.00000
98,F,42.863,0.00760
114,M,51.173,0.00137
116,M,35.629,0.00000
128,M,44.854,NA
147,M,34.392,NA
174,F,32.304,0.00156
180,F,53.392,0.02680
181,F,48.408,0.55750
204,F,41.043,NA
232,M,51.102,0.01350
256,M,34.344,0.00075
257,M,44.917,1.11700
261,M,36.694,NA
262,M,41.761,0.12970
266,M,38.288,0.19300
283,M,45.624,NA
288,M,53.211,NA
291,M,52.165,NA
292,M,44.824,0.02590
314,F,41.368,0.03940
317,F,51.561,NA
347,F,54.781,0.01680
350,F,48.552,NA
354,F,42.476,0.00530
361,F,50.694,0.00850
365,F,52.752,0.00184