Mouse,Generation,Sex,InitialWeight,FinalWeight,AST,ALT,ASTALTRatio,BUN,Glucose,NADPH,NADP,NADPNADPHRatio,NADH,LiverWeight,LiverTotalGSH,LiverGSH,LiverGSSG,LiverGSHGSSGRatio,LiverEh,Steatosis,Ballooning,Fibrosis,Inflammation,KidneyTotalGSH,KidneyGSH,KidneyGSSG,KidneyGSHGSSGRatio,KidneyEh
1,30,M,NA,38.9,59,30,1.967,28,104,0.604,NA,NA,NA,1.788,47.071,46.189,0.441,104.688,-201.549,0,4,0,1,17.819,17.232,0.293,58.746,-180.497
2,30,M,NA,46.6,89,43,2.07,23,153,0.609,NA,NA,3.066,1.922,61.701,60.649,0.526,115.305,-206.517,0,4,0,0,14.922,14.566,0.178,81.846,-182.699
3,30,M,NA,39.9,197,NA,NA,26,120,0.642,NA,NA,NA,2.092,111.584,109.341,1.121,97.5,-212.193,0,4,0,0,17.98,17.596,0.192,91.689,-186.772
4,30,M,NA,40.8,58,28,2.071,20,94,0.647,NA,NA,NA,1.485,84.653,83.233,0.71,117.201,-210.998,0,2,0,2,18.263,17.856,0.203,87.918,-186.404
5,30,M,NA,45.2,39,23,1.696,21,98,0.766,NA,NA,NA,1.768,31.451,30.433,0.509,59.798,-188.393,0,3,0,2,19.181,18.927,0.127,149.191,-194.308
6,30,M,NA,35.7,60,29,2.069,29,87,0.374,NA,NA,3.516,1.56,55.632,54.483,0.575,94.831,-202.441,0,0,1,3,22.864,22.435,0.214,104.744,-191.835
7,30,M,NA,38,70,27,2.593,23,113,0.606,NA,NA,NA,1.844,44.145,43.243,0.451,95.786,-199.466,0,4,1,2,23.621,23.106,0.257,89.757,-190.153
8,30,M,NA,36,53,39,1.359,21,72,0.649,NA,NA,NA,1.47,39.461,38.471,0.495,77.696,-195.073,0,2,0,2,21.562,20.874,0.344,60.65,-183.507
9,30,M,NA,41.3,46,43,1.07,18,124,0.547,NA,NA,NA,1.999,45.782,44.49,0.646,68.878,-195.409,0,2,0,3,24.688,24.21,0.239,101.32,-192.412
10,30,M,NA,40,55,42,1.31,22,79,0.159,0.451,2.835,NA,2.437,64.686,63.417,0.635,99.94,-205.192,0,3,0,1,18.504,18.267,0.118,154.263,-194.28
11,30,M,NA,38.7,38,31,1.226,35,104,0.786,NA,NA,NA,1.949,100.58,97.954,1.313,74.61,-207.11,0,3,0,2,28.403,27.892,0.256,109.023,-195.305
12,30,M,NA,47,55,30,1.833,24,147,0.608,NA,NA,NA,1.872,74.772,73.065,0.853,85.642,-205.02,0,4,0,2,NA,NA,NA,NA,NA
13,30,M,NA,32.8,34,20,1.7,23,111,0.396,NA,NA,NA,1.571,37.995,37.024,0.485,76.275,-194.309,0,3,0,1,25.84,25.18,0.33,76.326,-189.128
14,30,M,NA,48.4,97,28,3.464,20,107,0.501,NA,NA,NA,2.441,117.232,113.359,1.937,58.53,-205.809,0,4,1,2,18.821,18.134,0.343,52.833,-179.756
15,30,M,NA,31.6,34,15,2.267,26,93,0.72,NA,NA,4.564,1.36,45.024,43.777,0.623,70.228,-195.453,0,1,1,3,19.874,19.597,0.138,141.623,-194.075
16,30,M,NA,30.7,53,26,2.038,21,65,0.436,0.552,1.267,NA,1.255,58.661,56.383,1.139,49.507,-194.152,0,0,0,1,19.505,19.13,0.187,102.26,-189.366
17,30,M,NA,48.1,52,33,1.576,19,69,0.777,NA,NA,NA,1.703,32.546,31.545,0.501,63.018,-189.582,0,2,0,3,20.264,19.771,0.246,80.27,-186.55
18,30,M,NA,46.6,37,18,2.056,32,160,0.238,NA,NA,NA,2.16,66.909,64.133,1.388,46.196,-194.954,3,2,0,1,16.393,15.562,0.416,37.418,-173.051
19,30,M,NA,47.5,53,32,1.656,25,95,0.516,0.924,1.792,3.906,1.655,96.544,94.55,0.997,94.805,-209.859,0,3,0,2,16.567,16.249,0.159,102.083,-187.145
20,30,M,NA,35.2,56,28,2,20,125,0.424,0.575,1.356,2.838,1.508,41.411,40.377,0.517,78.071,-195.789,0,3,0,2,31.045,30.422,0.312,97.651,-194.991
21,30,M,NA,38.5,51,26,1.962,23,120,0.433,0.829,1.914,3.009,1.919,42.728,41.869,0.429,97.55,-199.277,0,4,0,3,13.999,13.703,0.148,92.41,-183.51
22,30,M,NA,51.9,132,52,2.538,34,104,0.67,0.334,0.499,3.531,2.091,104.184,100.066,2.059,48.607,-201.629,0,3,0,2,24.133,23.858,0.137,173.825,-199.482
23,30,M,NA,51.5,58,41,1.415,24,152,0.456,0.46,1.007,2.732,3.162,73.924,71.729,1.098,65.348,-201.131,0,5,0,2,20.975,20.741,0.117,177.9,-197.909
24,30,M,NA,38.3,100,40,2.5,26,132,0.223,0.463,2.082,2.523,1.773,82.685,80.849,0.918,88.041,-206.755,0,3,0,1,17.379,17.061,0.159,107.116,-188.449
25,30,M,NA,37.1,56,39,1.436,22,92,0.276,0.801,2.906,1.954,1.724,62.999,61.53,0.734,83.788,-202.412,0,2,0,3,24.646,23.496,0.575,40.878,-179.789
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,30,M,NA,51.1,67,30,2.233,26,185,0.334,0.724,2.167,2.307,2.565,71.286,68.346,1.47,46.492,-195.897,0,4,0,0,13.423,13.118,0.152,86.157,-181.98
28,30,M,NA,33.6,61,28,2.179,33,107,0.488,0.525,1.075,2.363,1.496,101.746,99.552,1.097,90.745,-209.964,0,4,0,2,15.493,15.122,0.186,81.491,-183.144
29,30,M,NA,32.1,51,39,1.308,19,115,0.263,0.636,2.42,2.866,1.487,67.739,66.534,0.603,110.391,-207.177,0,3,0,3,17.719,17.249,0.235,73.508,-183.528
30,30,M,NA,39,78,23,3.391,28,127,0.359,0.53,1.477,3.168,1.584,20.094,19.669,0.213,92.445,-188.381,0,1,0,1,19.045,18.438,0.303,60.755,-181.86
31,30,M,NA,47.1,38,21,1.81,23,132,0.403,0.641,1.59,2.25,2.023,76.696,73.372,1.662,44.151,-196.157,0,4,0,1,23.36,22.394,0.483,46.34,-180.831
32,30,M,NA,53.7,57,36,1.583,40,243,0.609,0.417,0.685,3.106,3.068,43.781,42.164,0.809,52.134,-190.936,2,3,0,1,28.683,27.742,0.471,58.956,-186.955
33,30,M,NA,45.7,49,43,1.14,27,63,0.469,0.399,0.851,3.333,2.204,98.696,94.989,1.854,51.248,-201.64,1,4,0,2,21.74,20.97,0.385,54.465,-182.121
34,30,M,NA,31.1,74,34,2.176,26,103,0.405,0.579,1.429,3.829,1.516,18.523,18.045,0.239,75.506,-184.496,1,0,0,1,NA,NA,NA,NA,NA
35,30,M,NA,40.2,76,28,2.714,23,86,0.337,0.666,1.972,2.635,1.508,62.232,59.811,1.21,49.413,-194.921,1,2,0,2,26.465,25.193,0.636,39.605,-180.302
36,30,M,NA,52,50,36,1.389,24,122,0.527,0.421,0.798,2.433,2.91,34.621,33.472,0.575,58.251,-189.321,3,3,0,2,24.299,23.283,0.508,45.834,-181.207
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,30,M,NA,26.8,57,35,1.629,37,108,0.333,0.814,2.445,2.255,1.091,10.183,9.843,0.17,57.836,-172.747,0,0,0,2,49.074,47.712,0.681,70.068,-196.581
39,30,M,NA,46.3,35,21,1.667,24,216,0.295,0.502,1.701,1.409,2.422,53.7,52.436,0.632,82.948,-200.123,0,4,0,2,37.664,34.708,1.478,23.484,-177.579
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,30,M,NA,42.3,33,23,1.435,25,138,0.31,0.469,1.514,1.696,1.651,35.472,33.992,0.74,45.929,-186.329,0,1,0,2,32.566,31.808,0.379,83.945,-193.555
42,30,M,NA,38.7,51,23,2.217,28,100,0.288,0.507,1.76,1.61,1.627,77.522,74.136,1.693,43.784,-196.184,0,3,0,1,30.414,29.673,0.37,80.091,-191.986
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,30,M,NA,44.8,42,24,1.75,21,162,0.23,0.551,2.392,1.927,2.363,43.043,41.694,0.674,61.841,-193.084,0,5,0,2,39.317,37.463,0.927,40.433,-185.922
45,30,M,NA,48.6,34,19,1.789,26,142,0.271,0.401,1.484,0.653,3.111,58.744,57.554,0.595,96.683,-203.44,3,3,0,2,41.707,40.729,0.489,83.327,-196.783
46,30,M,NA,38.2,43,23,1.87,32,96,0.236,0.548,2.32,1.96,1.369,41.288,39.251,1.018,38.543,-185.906,0,0,0,1,30.439,28.945,0.747,38.763,-181.882
47,30,M,NA,35.1,96,31,3.097,35,83,0.401,0.435,1.087,1.407,1.665,60.774,58.81,0.982,59.864,-197.277,0,2,0,4,22.989,22.389,0.3,74.727,-187.261
48,30,M,NA,48.3,39,22,1.773,32,111,0.354,0.429,1.213,1.554,2.591,70.053,67.772,1.141,59.407,-199.083,3,1,0,1,32.243,30.58,0.832,36.765,-181.909
49,30,F,NA,22.9,50,18,2.778,29,78,0.151,0.794,5.245,1.581,1,66.603,65.096,0.754,86.383,-203.581,0,0,0,4,20.457,19.867,0.295,67.405,-184.264
50,30,F,NA,31.7,41,18,2.278,19,66,0.182,0.736,4.05,1.968,1.427,69.083,66.203,1.44,45.984,-195.32,0,0,0,2,40.331,37.152,1.589,23.374,-178.432
51,30,F,NA,41.5,49,19,2.579,17,111,0.121,0.782,6.444,2.011,1.096,38.697,38.048,0.325,117.133,-200.451,0,2,0,3,34.781,32.556,1.113,29.262,-179.679
52,30,F,NA,28.6,191,37,5.162,23,86,0.267,0.647,2.423,1.628,1.16,44.586,43.485,0.551,78.973,-196.942,0,0,0,4,28.16,26.125,1.017,25.682,-174.959
53,30,F,NA,39.8,42,31,1.355,18,66,0.107,0.717,6.71,0.953,1.521,49.301,47.974,0.664,72.288,-197.074,0,1,0,2,15.547,14.804,0.372,39.817,-173.215
54,30,F,NA,32.1,162,30,5.4,22,88,0.113,0.628,5.572,1.172,1.428,80.838,78.195,1.321,59.179,-200.958,0,1,0,2,38.686,35.462,1.612,22.005,-176.993
55,30,F,NA,44.4,60,34,1.765,24,94,0.104,0.621,5.993,1.551,1.869,60.082,58.039,1.022,56.816,-196.396,0,4,0,2,23.886,22.857,0.515,44.409,-180.533
56,30,F,NA,40.8,181,27,6.704,24,71,0.12,0.731,6.075,1.017,1.409,42.292,41.333,0.48,86.18,-197.435,0,1,0,1,20.87,19.802,0.534,37.079,-176.173
57,30,F,NA,44.1,58,29,2,25,86,0.35,0.694,1.984,0.986,1.524,55.34,54.147,0.597,90.721,-201.762,0,1,0,3,40.273,37.356,1.459,25.605,-179.733
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,30,F,NA,38.9,82,22,3.727,18,79,0.412,1.058,2.569,3.601,1.23,36.125,35.561,0.282,126.066,-200.531,0,4,0,1,45.835,43.863,0.986,44.479,-189.33
60,30,F,NA,28.7,40,20,2,21,80,0.721,1.057,1.467,4.405,1.262,53.386,52.215,0.586,89.18,-201.042,0,1,0,2,35.223,33.84,0.692,48.936,-187.123
61,30,F,NA,30.7,41,23,1.783,30,84,0.355,0.882,2.488,3.914,1.213,34.515,33.629,0.443,75.925,-192.952,0,3,0,1,29.548,27.418,1.065,25.744,-175.642
62,30,F,NA,36.2,151,23,6.565,19,91,0.378,0.647,1.713,2.932,1.269,38.805,38.041,0.382,99.569,-198.262,3,3,0,1,23.453,22.478,0.488,46.092,-180.809
63,30,F,NA,51.7,71,23,3.087,22,81,0.391,1.007,2.576,3.225,1.649,79.628,77.579,1.025,75.705,-204.167,1,3,0,2,28.605,27.883,0.361,77.141,-190.643
64,30,F,NA,18.5,NA,NA,NA,NA,78,0.324,0.891,2.75,3.062,0.662,22.691,22.147,0.272,81.455,-188.275,0,0,0,3,26.68,25.504,0.588,43.408,-181.702
65,30,F,NA,39,114,30,3.8,18,103,0.466,0.854,1.831,1.864,1.319,39.905,38.714,0.596,64.999,-192.756,0,2,0,2,22.955,22.398,0.279,80.368,-188.246
66,30,F,NA,31.7,42,22,1.909,26,99,0.687,0.723,1.053,2.842,1.048,57.045,55.925,0.56,99.901,-203.494,0,4,0,2,20.002,18.962,0.52,36.472,-175.367
67,30,F,NA,23.1,45,17,2.647,23,105,0.349,1.289,3.697,3.917,0.79,65.38,63.425,0.978,64.859,-199.373,0,0,0,3,24.293,23.619,0.337,70.102,-187.121
68,30,F,NA,33,45,24,1.875,19,90,0.305,0.967,3.172,2.693,1.599,42.881,41.32,0.781,52.912,-190.863,0,3,0,1,18.852,17.815,0.519,34.328,-173.711
69,30,F,NA,36,37,15,2.467,18,103,0.73,0.873,1.196,1.839,1.323,21.841,21.343,0.249,85.793,-188.476,1,3,0,2,19.388,18.715,0.337,55.559,-180.857
70,30,F,NA,28.8,40,19,2.105,24,74,0.296,0.75,2.529,2.45,1.189,56.941,55.792,0.574,97.179,-203.091,0,1,0,2,45.67,44.401,0.634,70.011,-195.601
71,30,F,NA,27.2,47,23,2.043,23,100,0.405,0.808,1.993,3.322,0.884,36.058,35.096,0.481,72.977,-192.994,0,2,0,2,40.579,39.774,0.403,98.81,-198.758
72,30,F,NA,30.3,45,20,2.25,23,103,0.513,0.746,1.454,1.171,1.181,69.081,67.491,0.795,84.89,-203.833,0,3,0,1,14.084,13.583,0.25,54.311,-176.237
73,30,F,NA,27.4,83,30,2.767,16,81,0.348,1.031,2.964,1.401,1.097,60.222,57.641,1.291,44.661,-193.062,0,3,0,3,16.961,16.418,0.271,60.475,-180.235
74,30,F,NA,28.8,145,29,5,27,102,0.249,1.216,4.877,2.89,1.147,54.914,53.704,0.605,88.751,-201.355,0,4,0,2,25.587,25.238,0.175,144.339,-197.736
75,30,F,NA,44.9,85,21,4.048,20,95,0.21,1.064,5.067,2.856,1.423,57.833,56.075,0.879,63.797,-197.492,0,1,0,2,15.196,14.911,0.142,104.848,-186.348
76,30,F,NA,28.1,41,17,2.412,21,80,0.279,0.883,3.16,2.223,1.166,30.607,29.623,0.492,60.183,-188.116,0,1,0,4,12.377,12.103,0.137,88.222,-181.214
77,30,F,NA,26.5,39,22,1.773,24,105,0.169,0.836,4.962,2.414,1.131,43.466,42.421,0.522,81.246,-196.991,0,3,0,2,19.974,18.56,0.707,26.261,-170.656
78,30,F,NA,27.1,103,21,4.905,20,96,0.25,0.962,3.852,3.703,1.196,60.072,57.887,1.092,52.989,-195.422,0,4,0,2,28.561,25.779,1.391,18.533,-170.388
79,30,F,NA,33.5,104,26,4,25,79,0.26,0.818,3.143,2.946,1.422,73.986,70.137,1.925,36.444,-192.967,0,4,0,2,22.542,21.592,0.475,45.453,-180.08
80,30,F,NA,48.4,45,16,2.813,21,98,0.204,0.988,4.842,3.485,1.805,43.91,42.097,0.907,46.432,-189.355,0,4,0,2,21.846,20.806,0.52,40.025,-177.868
81,30,F,NA,52.8,39,25,1.56,25,83,0.269,0.971,3.603,1.677,2.915,62.065,59.944,1.061,56.516,-196.759,2,4,0,2,20.307,19.481,0.413,47.161,-179.191
82,30,F,NA,57.3,43,23,1.87,18,141,0.429,0.445,1.036,2.892,2.698,55.507,54.085,0.711,76.07,-199.375,2,4,0,1,28.363,27.36,0.502,54.548,-185.723
83,30,F,NA,24.9,64,31,2.065,21,80,0.093,0.43,4.633,2.212,1.104,30.58,29.302,0.639,45.826,-184.3,0,1,0,2,29.135,28.458,0.339,84.035,-192.07
84,30,F,NA,21.6,169,27,6.259,19,53,0.13,0.859,6.632,2.089,0.961,17.886,17.017,0.434,39.173,-174.872,NA,NA,0,NA,21.61,20.478,0.566,36.186,-176.297
85,30,F,NA,31.9,140,23,6.087,22,96,0.21,0.767,3.653,1.626,1.136,43.046,41.923,0.562,74.651,-195.692,0,2,0,1,24.067,23.403,0.332,70.503,-187.074
86,30,F,NA,21.1,51,19,2.684,19,110,0.168,0.707,4.198,3.012,0.7,60.514,58.666,0.924,63.481,-198.034,0,0,0,2,37.016,36.498,0.259,140.918,-202.38
87,30,F,NA,37.2,37,15,2.467,16,94,0.105,0.879,8.351,1.817,1.51,60.354,58.6,0.877,66.814,-198.708,0,4,0,3,26.168,25.359,0.405,62.686,-186.573
88,30,F,NA,28,52,22,2.364,19,97,0.142,0.459,3.223,2.26,1.024,31.021,30.238,0.392,77.236,-191.751,0,3,0,2,21.079,20.485,0.297,68.872,-184.965
89,30,F,NA,46.9,61,31,1.968,22,110,0.146,1.51,10.334,0.901,1.918,51.074,48.668,1.203,40.466,-189.456,0,3,0,3,29.111,27.867,0.622,44.811,-183.323
90,30,F,NA,39,84,24,3.5,20,107,0.565,1.162,2.057,2.834,1.999,53.739,53.045,0.347,152.98,-208.52,0,4,0,2,17.961,17.653,0.154,114.633,-189.822
91,30,F,NA,48.1,62,27,2.296,18,100,0.345,1.313,3.808,2.13,1.962,40.439,38.296,1.072,35.74,-184.557,0,4,0,3,11.278,10.958,0.16,68.42,-176.454
92,30,F,NA,27.8,186,NA,NA,19,82,0.258,1.067,4.141,1.611,1.157,39.458,37.858,0.8,47.314,-188.18,0,2,0,3,19.006,18.185,0.41,44.303,-177.422
93,30,F,NA,52.2,59,27,2.185,23,147,0.323,0.642,1.984,1.939,2.141,62.92,60.273,1.323,45.549,-193.929,1,4,0,4,14.233,13.688,0.273,50.224,-175.287
94,30,F,NA,35.2,101,20,5.05,16,65,0.192,0.726,3.784,1.828,1.453,59.917,58.15,0.884,65.792,-198.396,0,4,0,3,10.913,10.602,0.155,68.195,-175.965
95,30,F,NA,27.3,117,18,6.5,14,152,0.302,0.901,2.982,2.623,1.098,77.595,75.541,1.027,73.539,-203.418,0,3,0,2,17.008,16.12,0.444,36.288,-173.112
96,30,F,NA,35.4,48,28,1.714,19,89,0.098,0.659,6.69,2,1.998,46.075,44.915,0.58,77.44,-197.114,0,5,0,3,13.867,10.735,1.566,6.855,-145.203
97,30,F,NA,29.6,50,20,2.5,21,81,0.159,0.671,4.218,2.497,1.357,59.371,55.868,1.752,31.894,-188.109,0,3,0,2,24.498,21.481,1.508,14.242,-164.387
98,30,F,NA,36.8,58,28,2.071,22,73,0.106,0.742,7.034,1.859,1.776,46.609,44.531,1.039,42.863,-189.035,0,3,0,3,14.833,14.07,0.382,36.879,-171.499
99,32,M,27.9,37.8,64,29,2.207,21,98,0.18,0.422,2.343,3.52,1.651,41.56,40.565,0.498,81.486,-196.428,0,4,0,2,19.793,19.386,0.204,95.156,-188.575
100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,32,M,31,48.2,NA,NA,NA,NA,120,0.178,0.412,2.316,4.412,2.083,63.188,61.663,0.763,80.865,-201.963,0,4,0,1,22.433,22.018,0.207,106.154,-191.762
102,32,M,26,35.8,73,25,2.92,31,95,0.175,0.588,3.349,4.536,1.64,36.199,35.474,0.363,97.813,-197.081,0,4,0,2,11.692,10.876,0.408,26.656,-163.662
103,32,M,33.3,35,46,22,2.091,34,147,0.189,0.51,2.692,3.898,1.849,33.222,32.535,0.344,94.704,-195.482,0,3,0,2,24.54,24.06,0.24,100.177,-192.176
104,32,M,34.1,43.2,42,23,1.826,26,87,0.226,0.353,1.564,2.915,1.903,55.006,54.108,0.449,120.507,-205.574,0,5,0,1,18.461,18.006,0.227,79.156,-185.103
105,32,M,32.1,34.5,83,21,3.952,19,96,0.1,0.33,3.3,4.275,1.739,48.832,48.125,0.354,136.008,-205.626,0,5,0,1,22.64,22.181,0.229,96.667,-190.601
106,32,M,26,38.5,76,21,3.619,25,137,0.228,0.367,1.613,4,1.897,56.03,54.707,0.661,82.719,-200.657,0,4,0,2,19.889,19.095,0.397,48.082,-179.182
107,32,M,30.9,51.7,80,40,2,36,96,0.128,0.29,2.257,3.739,2.466,44.501,43.249,0.626,69.123,-195.076,1,3,0,2,18.653,18.422,0.115,159.978,-194.884
108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,32,M,30.5,42.3,212,42,5.048,23,93,0.198,0.255,1.287,4.141,1.903,83.31,82.234,0.538,152.937,-214.418,0,4,0,2,13.61,13.313,0.149,89.586,-182.704
110,32,M,30.3,39.6,77,36,2.139,20,94,0.17,0.548,3.232,2.607,1.765,39.255,38.11,0.573,66.564,-192.865,0,2,0,1,20.314,19.962,0.176,113.268,-191.316
111,32,M,26.7,43.5,61,23,2.652,26,108,0.245,0.219,0.895,3.012,1.765,72.44,70.993,0.723,98.148,-206.468,0,2,0,2,16.033,15.697,0.168,93.519,-185.5
112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,32,M,34.6,51.5,56,40,1.4,25,241,0.149,0.313,2.099,2.902,2.686,62.171,61.031,0.57,107.04,-205.6,0,4,0,1,14.524,14.022,0.251,55.864,-177.044
114,32,M,30.2,39,34,19,1.789,22,94,0.218,0.277,1.266,3.21,1.687,59.213,56.986,1.114,51.173,-194.741,0,2,0,2,20.648,20.103,0.272,73.788,-185.64
115,32,M,30.6,38.6,36,19,1.895,23,93,0.15,0.422,2.819,3.084,1.419,35.597,34.88,0.358,97.347,-196.79,0,1,0,2,15.024,14.665,0.179,81.768,-182.777
116,32,M,30.4,37.4,37,24,1.542,23,106,0.07,0.356,5.087,3.01,1.95,46.255,43.797,1.229,35.629,-186.322,2,2,0,2,23.031,22.483,0.274,82.096,-188.583
117,32,M,36.8,64.5,35,24,1.458,24,103,0.087,0.343,3.942,2.785,3.032,42.838,41.446,0.696,59.58,-192.502,3,2,0,3,11.607,11.432,0.088,130.651,-185.734
118,32,M,21.8,27.7,44,17,2.588,25,77,0.35,0.733,2.095,3.362,1.461,55.922,54.411,0.756,71.988,-198.713,0,4,0,2,17.322,16.807,0.257,65.277,-181.58
119,32,M,27.5,46.9,NA,NA,NA,NA,124,0.242,0.52,2.149,2.881,2.51,91.58,88.263,1.658,53.226,-201.161,1,5,0,2,21.056,20.387,0.335,60.884,-183.241
120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,32,M,26.8,39.8,68,23,2.957,21,108,0.344,0.78,2.269,4.979,1.471,39.721,39.004,0.359,108.685,-199.777,0,2,0,2,7.888,7.311,0.289,25.337,-157.632
122,32,M,28.1,36.8,120,30,4,26,116,0.139,0.885,6.352,2.553,1.715,60.826,58.994,0.916,64.401,-198.303,0,2,0,2,14.926,14.462,0.232,62.232,-178.913
123,32,M,31.1,36.7,93,30,3.1,33,80,0.215,0.629,2.932,3.338,1.712,66.967,65.42,0.774,84.537,-203.357,0,3,0,1,13.033,12.321,0.356,34.629,-168.865
