Mouse,Generation,Sex,Steatosis,Hydropic Degeneration,Inflammation,Liver GSH (nmol/mg),Liver GSSG (nmol/mg),Liver Total Glutathione (nmol/mg),Liver GSH/GSSG,Liver Eh (mV),Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV)
1,30,M,0,4,1,46.189,0.441,47.071,104.688,-201.549,17.819,17.232,0.293,58.746,-180.497
2,30,M,0,4,0,60.649,0.526,61.701,115.305,-206.517,14.922,14.566,0.178,81.846,-182.699
3,30,M,0,4,0,109.341,1.121,111.584,97.5,-212.193,17.98,17.596,0.192,91.689,-186.772
4,30,M,0,2,2,83.233,0.71,84.653,117.201,-210.998,18.263,17.856,0.203,87.918,-186.404
5,30,M,0,3,2,30.433,0.509,31.451,59.798,-188.393,19.181,18.927,0.127,149.191,-194.308
6,30,M,0,0,3,54.483,0.575,55.632,94.831,-202.441,22.864,22.435,0.214,104.744,-191.835
7,30,M,0,4,2,43.243,0.451,44.145,95.786,-199.466,23.621,23.106,0.257,89.757,-190.153
8,30,M,0,2,2,38.471,0.495,39.461,77.696,-195.073,21.562,20.874,0.344,60.65,-183.507
9,30,M,0,2,3,44.49,0.646,45.782,68.878,-195.409,24.688,24.21,0.239,101.32,-192.412
10,30,M,0,3,1,63.417,0.635,64.686,99.94,-205.192,18.504,18.267,0.118,154.263,-194.28
11,30,M,0,3,2,97.954,1.313,100.58,74.61,-207.11,28.403,27.892,0.256,109.023,-195.305
12,30,M,0,4,2,73.065,0.853,74.772,85.642,-205.02,NA,NA,NA,NA,NA
13,30,M,0,3,1,37.024,0.485,37.995,76.275,-194.309,25.84,25.18,0.33,76.326,-189.128
14,30,M,0,4,2,113.359,1.937,117.232,58.53,-205.809,18.821,18.134,0.343,52.833,-179.756
15,30,M,0,1,3,43.777,0.623,45.024,70.228,-195.453,19.874,19.597,0.138,141.623,-194.075
16,30,M,0,0,1,56.383,1.139,58.661,49.507,-194.152,19.505,19.13,0.187,102.26,-189.366
17,30,M,0,2,3,31.545,0.501,32.546,63.018,-189.582,20.264,19.771,0.246,80.27,-186.55
18,30,M,3,2,1,64.133,1.388,66.909,46.196,-194.954,16.393,15.562,0.416,37.418,-173.051
19,30,M,0,3,2,94.55,0.997,96.544,94.805,-209.859,16.567,16.249,0.159,102.083,-187.145
20,30,M,0,3,2,40.377,0.517,41.411,78.071,-195.789,31.045,30.422,0.312,97.651,-194.991
21,30,M,0,4,3,41.869,0.429,42.728,97.55,-199.277,13.999,13.703,0.148,92.41,-183.51
22,30,M,0,3,2,100.066,2.059,104.184,48.607,-201.629,24.133,23.858,0.137,173.825,-199.482
23,30,M,0,5,2,71.729,1.098,73.924,65.348,-201.131,20.975,20.741,0.117,177.9,-197.909
24,30,M,0,3,1,80.849,0.918,82.685,88.041,-206.755,17.379,17.061,0.159,107.116,-188.449
25,30,M,0,2,3,61.53,0.734,62.999,83.788,-202.412,24.646,23.496,0.575,40.878,-179.789
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,30,M,0,4,0,68.346,1.47,71.286,46.492,-195.897,13.423,13.118,0.152,86.157,-181.98
28,30,M,0,4,2,99.552,1.097,101.746,90.745,-209.964,15.493,15.122,0.186,81.491,-183.144
29,30,M,0,3,3,66.534,0.603,67.739,110.391,-207.177,17.719,17.249,0.235,73.508,-183.528
30,30,M,0,1,1,19.669,0.213,20.094,92.445,-188.381,19.045,18.438,0.303,60.755,-181.86
31,30,M,0,4,1,73.372,1.662,76.696,44.151,-196.157,23.36,22.394,0.483,46.34,-180.831
32,30,M,2,3,1,42.164,0.809,43.781,52.134,-190.936,28.683,27.742,0.471,58.956,-186.955
33,30,M,1,4,2,94.989,1.854,98.696,51.248,-201.64,21.74,20.97,0.385,54.465,-182.121
34,30,M,1,0,1,18.045,0.239,18.523,75.506,-184.496,NA,NA,NA,NA,NA
35,30,M,1,2,2,59.811,1.21,62.232,49.413,-194.921,26.465,25.193,0.636,39.605,-180.302
36,30,M,3,3,2,33.472,0.575,34.621,58.251,-189.321,24.299,23.283,0.508,45.834,-181.207
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,30,M,0,0,2,9.843,0.17,10.183,57.836,-172.747,49.074,47.712,0.681,70.068,-196.581
39,30,M,0,4,2,52.436,0.632,53.7,82.948,-200.123,37.664,34.708,1.478,23.484,-177.579
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,30,M,0,1,2,33.992,0.74,35.472,45.929,-186.329,32.566,31.808,0.379,83.945,-193.555
42,30,M,0,3,1,74.136,1.693,77.522,43.784,-196.184,30.414,29.673,0.37,80.091,-191.986
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,30,M,0,5,2,41.694,0.674,43.043,61.841,-193.084,39.317,37.463,0.927,40.433,-185.922
45,30,M,3,3,2,57.554,0.595,58.744,96.683,-203.44,41.707,40.729,0.489,83.327,-196.783
46,30,M,0,0,1,39.251,1.018,41.288,38.543,-185.906,30.439,28.945,0.747,38.763,-181.882
47,30,M,0,2,4,58.81,0.982,60.774,59.864,-197.277,22.989,22.389,0.3,74.727,-187.261
48,30,M,3,1,1,67.772,1.141,70.053,59.407,-199.083,32.243,30.58,0.832,36.765,-181.909
49,30,F,0,0,4,65.096,0.754,66.603,86.383,-203.581,20.457,19.867,0.295,67.405,-184.264
50,30,F,0,0,2,66.203,1.44,69.083,45.984,-195.32,40.331,37.152,1.589,23.374,-178.432
51,30,F,0,2,3,38.048,0.325,38.697,117.133,-200.451,34.781,32.556,1.113,29.262,-179.679
52,30,F,0,0,4,43.485,0.551,44.586,78.973,-196.942,28.16,26.125,1.017,25.682,-174.959
53,30,F,0,1,2,47.974,0.664,49.301,72.288,-197.074,15.547,14.804,0.372,39.817,-173.215
54,30,F,0,1,2,78.195,1.321,80.838,59.179,-200.958,38.686,35.462,1.612,22.005,-176.993
55,30,F,0,4,2,58.039,1.022,60.082,56.816,-196.396,23.886,22.857,0.515,44.409,-180.533
56,30,F,0,1,1,41.333,0.48,42.292,86.18,-197.435,20.87,19.802,0.534,37.079,-176.173
57,30,F,0,1,3,54.147,0.597,55.34,90.721,-201.762,40.273,37.356,1.459,25.605,-179.733
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,30,F,0,4,1,35.561,0.282,36.125,126.066,-200.531,45.835,43.863,0.986,44.479,-189.33
60,30,F,0,1,2,52.215,0.586,53.386,89.18,-201.042,35.223,33.84,0.692,48.936,-187.123
61,30,F,0,3,1,33.629,0.443,34.515,75.925,-192.952,29.548,27.418,1.065,25.744,-175.642
62,30,F,3,3,1,38.041,0.382,38.805,99.569,-198.262,23.453,22.478,0.488,46.092,-180.809
63,30,F,1,3,2,77.579,1.025,79.628,75.705,-204.167,28.605,27.883,0.361,77.141,-190.643
64,30,F,0,0,3,22.147,0.272,22.691,81.455,-188.275,26.68,25.504,0.588,43.408,-181.702
65,30,F,0,2,2,38.714,0.596,39.905,64.999,-192.756,22.955,22.398,0.279,80.368,-188.246
66,30,F,0,4,2,55.925,0.56,57.045,99.901,-203.494,20.002,18.962,0.52,36.472,-175.367
67,30,F,0,0,3,63.425,0.978,65.38,64.859,-199.373,24.293,23.619,0.337,70.102,-187.121
68,30,F,0,3,1,41.32,0.781,42.881,52.912,-190.863,18.852,17.815,0.519,34.328,-173.711
69,30,F,1,3,2,21.343,0.249,21.841,85.793,-188.476,19.388,18.715,0.337,55.559,-180.857
70,30,F,0,1,2,55.792,0.574,56.941,97.179,-203.091,45.67,44.401,0.634,70.011,-195.601
71,30,F,0,2,2,35.096,0.481,36.058,72.977,-192.994,40.579,39.774,0.403,98.81,-198.758
72,30,F,0,3,1,67.491,0.795,69.081,84.89,-203.833,14.084,13.583,0.25,54.311,-176.237
73,30,F,0,3,3,57.641,1.291,60.222,44.661,-193.062,16.961,16.418,0.271,60.475,-180.235
74,30,F,0,4,2,53.704,0.605,54.914,88.751,-201.355,25.587,25.238,0.175,144.339,-197.736
75,30,F,0,1,2,56.075,0.879,57.833,63.797,-197.492,15.196,14.911,0.142,104.848,-186.348
76,30,F,0,1,4,29.623,0.492,30.607,60.183,-188.116,12.377,12.103,0.137,88.222,-181.214
77,30,F,0,3,2,42.421,0.522,43.466,81.246,-196.991,19.974,18.56,0.707,26.261,-170.656
78,30,F,0,4,2,57.887,1.092,60.072,52.989,-195.422,28.561,25.779,1.391,18.533,-170.388
79,30,F,0,4,2,70.137,1.925,73.986,36.444,-192.967,22.542,21.592,0.475,45.453,-180.08
80,30,F,0,4,2,42.097,0.907,43.91,46.432,-189.355,21.846,20.806,0.52,40.025,-177.868
81,30,F,2,4,2,59.944,1.061,62.065,56.516,-196.759,20.307,19.481,0.413,47.161,-179.191
82,30,F,2,4,1,54.085,0.711,55.507,76.07,-199.375,28.363,27.36,0.502,54.548,-185.723
83,30,F,0,1,2,29.302,0.639,30.58,45.826,-184.3,29.135,28.458,0.339,84.035,-192.07
84,30,F,NA,NA,NA,17.017,0.434,17.886,39.173,-174.872,21.61,20.478,0.566,36.186,-176.297
85,30,F,0,2,1,41.923,0.562,43.046,74.651,-195.692,24.067,23.403,0.332,70.503,-187.074
86,30,F,0,0,2,58.666,0.924,60.514,63.481,-198.034,37.016,36.498,0.259,140.918,-202.38
87,30,F,0,4,3,58.6,0.877,60.354,66.814,-198.708,26.168,25.359,0.405,62.686,-186.573
88,30,F,0,3,2,30.238,0.392,31.021,77.236,-191.751,21.079,20.485,0.297,68.872,-184.965
89,30,F,0,3,3,48.668,1.203,51.074,40.466,-189.456,29.111,27.867,0.622,44.811,-183.323
90,30,F,0,4,2,53.045,0.347,53.739,152.98,-208.52,17.961,17.653,0.154,114.633,-189.822
91,30,F,0,4,3,38.296,1.072,40.439,35.74,-184.557,11.278,10.958,0.16,68.42,-176.454
92,30,F,0,2,3,37.858,0.8,39.458,47.314,-188.18,19.006,18.185,0.41,44.303,-177.422
93,30,F,1,4,4,60.273,1.323,62.92,45.549,-193.929,14.233,13.688,0.273,50.224,-175.287
94,30,F,0,4,3,58.15,0.884,59.917,65.792,-198.396,10.913,10.602,0.155,68.195,-175.965
95,30,F,0,3,2,75.541,1.027,77.595,73.539,-203.418,17.008,16.12,0.444,36.288,-173.112
96,30,F,0,5,3,44.915,0.58,46.075,77.44,-197.114,13.867,10.735,1.566,6.855,-145.203
97,30,F,0,3,2,55.868,1.752,59.371,31.894,-188.109,24.498,21.481,1.508,14.242,-164.387
98,30,F,0,3,3,44.531,1.039,46.609,42.863,-189.035,14.833,14.07,0.382,36.879,-171.499
99,32,M,0,4,2,40.565,0.498,41.56,81.486,-196.428,19.793,19.386,0.204,95.156,-188.575
100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.279,18.796,0.241,77.861,-185.459
101,32,M,0,4,1,61.663,0.763,63.188,80.865,-201.963,22.433,22.018,0.207,106.154,-191.762
102,32,M,0,4,2,35.474,0.363,36.199,97.813,-197.081,11.692,10.876,0.408,26.656,-163.662
103,32,M,0,3,2,32.535,0.344,33.222,94.704,-195.482,24.54,24.06,0.24,100.177,-192.176
104,32,M,0,5,1,54.108,0.449,55.006,120.507,-205.574,18.461,18.006,0.227,79.156,-185.103
105,32,M,0,5,1,48.125,0.354,48.832,136.008,-205.626,22.64,22.181,0.229,96.667,-190.601
106,32,M,0,4,2,54.707,0.661,56.03,82.719,-200.657,19.889,19.095,0.397,48.082,-179.182
107,32,M,1,3,2,43.249,0.626,44.501,69.123,-195.076,18.653,18.422,0.115,159.978,-194.884
108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,32,M,0,4,2,82.234,0.538,83.31,152.937,-214.418,13.61,13.313,0.149,89.586,-182.704
110,32,M,0,2,1,38.11,0.573,39.255,66.564,-192.865,20.314,19.962,0.176,113.268,-191.316
111,32,M,0,2,2,70.993,0.723,72.44,98.148,-206.468,16.033,15.697,0.168,93.519,-185.5
112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,32,M,0,4,1,61.031,0.57,62.171,107.04,-205.6,14.524,14.022,0.251,55.864,-177.044
114,32,M,0,2,2,56.986,1.114,59.213,51.173,-194.741,20.648,20.103,0.272,73.788,-185.64
115,32,M,0,1,2,34.88,0.358,35.597,97.347,-196.79,15.024,14.665,0.179,81.768,-182.777
116,32,M,2,2,2,43.797,1.229,46.255,35.629,-186.322,23.031,22.483,0.274,82.096,-188.583
117,32,M,3,2,3,41.446,0.696,42.838,59.58,-192.502,11.607,11.432,0.088,130.651,-185.734
118,32,M,0,4,2,54.411,0.756,55.922,71.988,-198.713,17.322,16.807,0.257,65.277,-181.58
119,32,M,1,5,2,88.263,1.658,91.58,53.226,-201.161,21.056,20.387,0.335,60.884,-183.241
120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,32,M,0,2,2,39.004,0.359,39.721,108.685,-199.777,7.888,7.311,0.289,25.337,-157.632
122,32,M,0,2,2,58.994,0.916,60.826,64.401,-198.303,14.926,14.462,0.232,62.232,-178.913
123,32,M,0,3,1,65.42,0.774,66.967,84.537,-203.357,13.033,12.321,0.356,34.629,-168.865
124,32,M,0,3,1,62.07,0.983,64.036,63.157,-198.724,16.058,15.583,0.237,65.705,-180.65
125,32,M,0,3,2,56.214,0.584,57.382,96.244,-203.062,14.71,14.291,0.21,68.172,-179.98
126,32,M,1,4,1,88.607,1.457,91.521,60.803,-203.005,8.06,7.316,0.372,19.668,-154.232
127,32,M,1,4,1,37.275,0.584,38.444,63.784,-191.992,11.614,11.057,0.278,39.732,-169.258
128,32,M,0,3,0,65.643,1.463,68.57,44.854,-194.871,6.699,6.4,0.15,42.79,-162.895
129,32,M,0,5,1,58.592,0.624,59.84,93.864,-203.282,14.167,13.567,0.3,45.265,-173.767
130,32,M,0,1,2,69.616,0.942,71.499,73.931,-202.39,18.569,18.104,0.233,77.773,-184.938
131,32,M,0,4,1,34.452,0.292,35.035,118.009,-199.215,12.513,11.595,0.459,25.235,-163.786
132,32,M,0,3,2,59.103,0.805,60.712,73.434,-200.094,12.718,12.164,0.277,43.931,-171.896
133,32,M,0,3,2,52.55,0.637,53.824,82.479,-200.076,20.453,20.047,0.203,98.642,-189.511
134,32,M,0,2,2,65.318,0.417,66.151,156.81,-211.655,15.932,15.606,0.163,95.847,-185.753
135,32,M,1,5,1,52.914,0.752,54.418,70.369,-198.031,16.77,16.377,0.196,83.36,-184.523
136,32,M,0,1,3,52.433,0.364,53.16,144.187,-207.566,17.263,16.718,0.272,61.35,-180.673
137,32,M,0,3,2,67.826,0.564,68.955,120.168,-208.579,17.809,17.59,0.11,160.364,-194.293
138,32,M,0,3,2,NA,1.289,NA,NA,NA,13.446,13.196,0.125,105.445,-184.779
139,32,M,0,4,2,77.132,0.53,78.192,145.586,-212.893,17.591,16.95,0.32,52.895,-178.862
140,32,M,0,2,2,51.13,0.348,51.826,146.931,-207.481,22.67,22.074,0.298,74.159,-186.968
141,32,M,0,4,1,67.622,0.775,69.171,87.305,-204.237,14.391,14.079,0.156,90.148,-183.541
142,32,M,0,3,3,43.232,0.694,44.62,62.292,-193.669,11.343,10.797,0.273,39.577,-168.885
143,32,M,0,3,1,77.795,0.915,79.625,85.006,-205.764,25.157,24.427,0.365,66.935,-186.951
144,32,M,0,4,2,56.232,0.755,57.741,74.522,-199.622,15.408,14.762,0.323,45.702,-175.033
145,32,M,0,2,2,55.115,0.755,56.625,72.992,-199.073,16.208,15.203,0.502,30.267,-169.882
146,32,M,0,2,1,38.114,0.225,38.563,169.761,-205.471,20.031,18.939,0.546,34.708,-174.684
147,32,M,1,4,1,78.682,2.288,83.258,34.392,-193.734,17.873,17.19,0.342,50.335,-178.384
148,32,M,0,2,2,42.728,0.348,43.424,122.759,-202.645,23.734,21.795,0.97,22.479,-170.726
149,32,M,0,1,2,41.773,0.421,42.614,99.286,-199.483,23.729,23.045,0.342,67.39,-186.258
150,32,M,0,1,4,77.036,0.809,78.654,95.217,-207.16,16.571,15.11,0.731,20.675,-164.667
151,32,M,0,4,2,54.379,0.561,55.501,97.002,-202.721,27.81,27.169,0.321,84.707,-191.554
152,32,M,0,2,2,59.979,0.866,61.711,69.23,-199.499,20.382,19.68,0.351,56.058,-181.654
153,32,M,0,0,3,36.735,0.402,37.538,91.472,-196.649,10.265,9.941,0.162,61.509,-173.71
154,32,M,0,3,2,84.067,0.847,85.761,99.264,-208.896,16.22,15.85,0.185,85.649,-184.447
155,32,M,0,4,2,42.043,0.416,42.876,100.951,-199.794,12.52,12.208,0.156,78.416,-179.745
156,32,M,0,4,3,73.523,0.72,74.963,102.144,-207.477,9.171,8.56,0.306,27.993,-161.097
157,32,M,5,1,2,59.704,0.77,61.245,77.496,-200.956,16.163,15.872,0.146,108.786,-187.685
158,32,M,2,4,2,64.529,0.662,65.853,97.43,-205.084,19.421,19.14,0.141,136.197,-193.231
159,32,M,0,5,2,42.982,0.677,44.336,63.495,-193.849,24.037,23.537,0.25,94.142,-191.043
160,32,M,0,4,1,59.287,0.602,60.491,98.513,-204.092,14.479,13.85,0.315,44.036,-173.674
161,32,F,0,4,2,55.623,0.565,56.753,98.516,-203.234,23.109,22.434,0.338,66.431,-185.703
162,32,F,1,5,3,59.89,0.815,61.52,73.503,-200.285,24.058,23.452,0.303,77.446,-188.367
163,32,F,0,2,2,57.501,0.444,58.389,129.462,-207.358,19.825,19.072,0.377,50.626,-179.86
164,32,F,1,4,2,40.543,0.5,41.543,81.059,-196.35,22.744,21.967,0.388,56.596,-183.264
165,32,F,0,3,3,65.289,0.558,66.405,117.014,-207.707,17.42,16.522,0.449,36.781,-173.626
166,32,F,0,2,3,29.872,0.282,30.435,106.014,-195.851,11.158,10.521,0.319,33.024,-166.099
167,32,F,0,5,2,67.875,0.869,69.612,78.119,-202.79,18.858,18.151,0.354,51.326,-179.378
168,32,F,0,4,1,43.617,0.323,44.263,134.892,-204.191,11.549,10.962,0.294,37.302,-168.292
169,32,F,0,3,2,33.884,0.495,34.873,68.499,-191.668,7.648,7.161,0.244,29.368,-159.34
170,32,F,0,3,2,48.991,0.78,50.55,62.844,-195.472,20.976,20.56,0.208,98.835,-189.878
171,32,F,0,5,2,45.294,0.681,46.656,66.497,-195.176,12.335,11.819,0.258,45.806,-172.071
172,32,F,0,3,2,35.796,0.615,37.025,58.21,-190.216,16.432,15.81,0.311,50.848,-177.394
173,32,F,0,1,2,51.148,0.553,52.254,92.54,-201.262,22.868,22.236,0.316,70.468,-186.379
174,32,F,1,4,2,54.028,1.672,57.373,32.304,-187.83,19.101,18.754,0.174,107.98,-189.832
175,32,F,0,4,2,40.877,0.592,42.062,69.011,-194.294,14.404,13.806,0.299,46.163,-174.267
176,32,F,0,3,1,43.273,0.675,44.624,64.063,-194.06,23.295,22.485,0.405,55.465,-183.305
177,32,F,0,4,2,63.604,0.713,65.031,89.172,-203.697,11.113,9.887,0.613,16.122,-155.609
178,32,F,0,4,2,66.38,0.661,67.702,100.373,-205.865,27.961,26.729,0.616,43.4,-182.331
179,32,F,0,4,2,48.678,0.681,50.039,71.503,-197.123,8.661,7.859,0.401,19.592,-155.142
180,32,F,0,4,2,55.553,1.04,57.634,53.392,-194.97,17.365,16.552,0.407,40.716,-175.019
181,32,F,0,4,2,22.179,0.458,23.096,48.408,-181.289,25.284,24.784,0.25,99.142,-192.435
