Mouse,Generation,Sex,Steatosis,Hydropic Degeneration,Inflammation,Liver GSH (nmol/mg),Liver GSSG (nmol/mg),Liver Total Glutathione (nmol/mg),Liver GSH/GSSG,Liver Eh (mV),Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV)
182,32,F,1,4,2,61.091,0.684,62.46,89.296,-203.173,20.267,19.739,0.264,74.754,-185.57
183,32,F,0,3,2,38.593,0.546,39.685,70.703,-193.846,21.539,21.04,0.249,84.396,-188.063
184,32,F,0,3,2,46.445,0.79,48.025,58.794,-193.857,22.524,21.92,0.302,72.51,-186.57
185,32,F,0,3,2,41.295,0.332,41.96,124.199,-202.342,12.132,11.615,0.259,44.926,-171.575
186,32,F,2,4,2,38.685,0.472,39.629,81.883,-195.855,20.164,19.555,0.304,64.236,-183.402
187,32,F,0,4,2,103.986,0.79,105.566,131.606,-215.556,26.997,26.184,0.406,64.442,-187.375
188,32,F,0,1,2,43.736,0.585,44.906,74.777,-196.285,21.282,20.39,0.446,45.726,-179.389
189,32,F,2,4,2,53.721,0.578,54.876,93.017,-201.992,21.576,21.116,0.23,91.85,-189.25
190,32,F,0,2,3,38.101,0.511,39.124,74.524,-194.382,9.685,8.799,0.443,19.851,-156.841
191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.25,21.794,0.728,29.942,-174.585
192,32,F,0,4,2,51.069,0.288,51.646,177.181,-209.986,12.538,11.249,0.645,17.443,-158.406
193,32,F,0,2,3,48.404,0.58,49.565,83.435,-199.125,28.556,28.091,0.233,120.705,-196.771
194,32,F,0,4,1,46.726,0.42,47.565,111.349,-202.535,17.577,17.041,0.268,63.583,-181.412
195,32,F,0,2,3,34.508,0.525,35.559,65.682,-191.348,27.75,26.363,0.694,38.013,-180.36
196,32,F,0,4,1,65.85,0.525,66.9,125.492,-208.764,24.296,23.369,0.464,50.408,-182.537
197,32,F,0,2,2,43.049,0.546,44.14,78.871,-196.789,23.099,22.605,0.247,91.507,-190.117
198,32,F,0,1,2,53.834,0.808,55.449,66.641,-197.531,18.995,18.291,0.352,52.007,-179.659
199,32,F,0,4,1,50.428,0.606,51.641,83.156,-199.631,19.35,18.25,0.55,33.17,-173.574
200,32,F,0,3,2,54.852,0.745,56.342,73.668,-199.133,24.507,23.646,0.431,54.919,-183.85
201,32,F,0,4,1,35.503,0.268,36.04,132.278,-201.156,10.336,9.829,0.253,38.808,-167.357
202,32,F,0,3,3,60.38,0.794,61.968,76.028,-200.85,17.099,16.718,0.19,87.965,-185.525
203,32,F,0,2,2,36.232,0.348,36.928,104.078,-198.202,5.069,4.744,0.163,29.19,-153.714
204,32,F,0,5,2,55.042,1.341,57.724,41.043,-191.304,11.997,11.35,0.323,35.092,-167.938
205,32,F,0,2,2,36.084,0.575,37.233,62.786,-191.343,19.79,19.342,0.224,86.46,-187.255
206,32,F,0,3,2,53.802,0.541,54.884,99.446,-202.912,19.339,18.534,0.402,46.088,-178.21
207,32,F,0,3,2,31.572,0.523,32.618,60.35,-189.011,21.535,20.773,0.381,54.512,-182.006
208,32,F,0,3,3,55.098,0.694,56.486,79.4,-200.202,24.322,23.483,0.42,55.928,-184.002
209,32,F,0,4,3,64.002,0.488,64.977,131.285,-208.989,16.856,16.391,0.233,70.392,-182.258
210,32,F,0,1,2,55.141,0.878,56.898,62.782,-197.051,25.7,25.407,0.146,173.517,-200.305
211,32,F,0,3,3,96.583,0.859,98.301,112.411,-212.439,26.515,25.851,0.332,77.882,-189.753
212,32,F,0,2,2,61.955,0.942,63.838,65.78,-199.247,23.354,22.468,0.443,50.752,-182.1
213,32,F,0,3,2,67.464,0.933,69.329,72.347,-201.675,20.292,19.862,0.215,92.334,-188.496
214,32,F,0,2,3,39.903,0.274,40.451,145.509,-204.013,6.16,5.602,0.279,20.077,-150.914
215,32,F,1,4,4,59.79,0.866,61.523,69.012,-199.414,14.846,14.15,0.348,40.651,-172.886
216,32,F,0,4,2,57.831,0.72,59.272,80.296,-201.004,8.917,8.174,0.372,22.001,-157.232
217,32,F,0,4,2,43.658,0.49,44.637,89.139,-198.626,16.771,16.343,0.214,76.371,-183.316
218,32,F,0,3,3,44.523,0.389,45.301,114.409,-202.25,23.903,22.969,0.467,49.184,-181.974
219,32,F,0,2,3,53.59,0.681,54.951,78.745,-199.716,25.756,24.987,0.384,65.032,-186.868
220,32,F,1,4,1,49.146,0.618,50.382,79.498,-198.679,21.171,20.556,0.307,66.873,-184.616
221,35,M,0,3,1,22.848,0.226,23.301,101.011,-191.592,25.209,24.639,0.285,86.513,-190.522
222,35,M,0,4,1,33.624,0.437,34.498,76.926,-193.126,15.791,15.234,0.279,54.692,-177.875
223,35,M,0,4,2,34.073,0.551,35.175,61.836,-190.365,19.616,18.939,0.338,55.997,-181.123
224,35,M,1,5,2,55.034,0.794,56.621,69.333,-198.361,8.155,7.836,0.159,49.154,-167.487
225,35,M,0,2,2,41.679,0.448,42.575,93.065,-198.582,23.397,22.809,0.294,77.545,-188.009
226,35,M,0,3,2,29.607,0.368,30.343,80.415,-192.011,15.488,14.538,0.475,30.584,-169.42
227,35,M,0,4,1,31.405,0.588,32.581,53.406,-187.294,10.309,9.841,0.234,41.983,-168.431
228,35,M,0,3,2,51.874,0.648,53.169,80.106,-199.509,9.692,9.459,0.117,81.134,-176.768
229,35,M,0,2,2,19.938,0.357,20.651,55.922,-181.797,22.053,21.644,0.204,106.05,-191.518
230,35,M,0,3,2,46.674,0.588,47.851,79.32,-197.954,19.408,18.153,0.628,28.927,-171.66
231,35,M,0,4,1,29.083,0.343,29.769,84.761,-192.479,22.877,22.293,0.292,76.42,-187.505
232,35,M,1,4,1,22.039,0.431,22.901,51.102,-181.932,13.883,13.133,0.375,35.005,-169.869
233,35,M,0,4,2,48.495,0.543,49.581,89.308,-200.066,12.901,12.473,0.214,58.264,-176.034
234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,35,M,0,4,1,45.903,0.666,47.235,68.935,-195.841,14.47,13.932,0.269,51.841,-175.951
236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,35,M,0,2,2,46.832,0.63,48.091,74.378,-197.133,9.522,9.162,0.18,50.866,-170.053
238,35,M,0,3,2,28.389,0.283,28.954,100.396,-194.433,32.095,31.181,0.457,68.239,-190.498
239,35,M,0,2,2,40.083,0.491,41.066,81.582,-196.283,22.281,21.815,0.233,93.681,-189.955
240,35,M,0,2,1,42.521,0.719,43.959,59.148,-192.749,9.614,9.206,0.204,45.192,-168.525
241,35,M,0,3,1,32.713,0.581,33.876,56.269,-188.547,15.382,14.228,0.577,24.668,-166.236
242,35,M,0,3,3,13.477,0.153,13.784,87.819,-182.601,17.292,16.818,0.237,70.883,-182.698
243,35,M,0,3,1,23.411,0.309,24.029,75.797,-188.053,11.433,11.219,0.107,104.487,-182.471
244,35,M,1,3,1,26.854,0.352,27.557,76.342,-189.997,12.691,12.041,0.325,37.034,-169.459
245,35,M,0,3,2,42.735,0.619,43.974,68.999,-194.89,11.85,11.264,0.293,38.481,-169.077
246,35,M,0,3,3,31.367,0.389,32.146,80.531,-192.807,21.332,20.634,0.349,59.129,-183.01
247,35,M,0,4,1,34.295,0.483,35.261,71.009,-192.315,15.34,14.919,0.21,70.936,-181.095
248,35,M,0,3,2,37.326,0.5,38.327,74.616,-194.122,11.148,10.786,0.181,59.696,-174.405
249,35,M,0,5,1,41.394,0.634,42.662,65.295,-193.718,19.861,19.243,0.309,62.301,-182.774
250,35,M,0,2,2,42.903,0.608,44.119,70.547,-195.242,7.839,7.297,0.271,26.954,-158.439
251,35,M,0,2,1,38.872,0.622,40.116,62.492,-192.281,7.642,7.384,0.129,57.156,-168.717
252,35,M,0,0,1,36.072,0.636,37.345,56.672,-189.959,12.726,12.049,0.338,35.621,-168.945
253,35,M,0,4,2,30.2,0.386,30.973,78.163,-191.895,17.577,16.832,0.372,45.209,-176.654
254,35,M,0,3,1,18.345,0.338,19.02,54.343,-180.29,23.709,22.891,0.409,56.022,-183.681
255,35,M,0,3,2,20.653,0.25,21.153,82.664,-187.533,9.763,9.579,0.092,104.096,-180.294
256,35,M,1,1,1,10.775,0.314,11.402,34.344,-166.948,7.875,7.26,0.308,23.601,-156.581
257,35,M,0,4,1,38.161,0.85,39.86,44.917,-187.587,12.879,12.05,0.415,29.07,-166.209
258,35,M,0,5,3,41.641,0.671,42.982,62.068,-193.116,11.145,10.789,0.178,60.718,-174.638
259,35,M,0,2,1,23.83,0.214,24.258,111.251,-193.458,13.153,12.438,0.357,34.819,-169.066
260,35,M,0,4,1,36.272,0.477,37.227,75.995,-193.983,15.684,15.253,0.215,70.815,-181.37
261,35,M,0,3,1,60.02,1.636,63.291,36.694,-190.961,13.138,12.405,0.366,33.862,-168.655
262,35,M,0,4,2,34.195,0.819,35.833,41.761,-185.129,14.647,13.76,0.443,31.036,-168.877
263,35,M,0,5,2,38.473,0.471,39.415,81.72,-195.754,18.807,18.291,0.258,70.921,-183.835
264,35,M,0,4,1,55.099,0.528,56.155,104.411,-203.889,11.097,10.745,0.176,61.047,-174.655
265,35,M,0,4,2,43.37,0.517,44.404,83.88,-197.718,18.552,18.126,0.213,85.025,-186.155
266,35,M,0,5,1,44.1,1.152,46.404,38.288,-187.385,8.757,8.011,0.373,21.481,-156.639
267,35,M,0,2,2,22.193,0.317,22.826,70.117,-186.285,13.033,11.972,0.531,22.556,-162.706
268,35,M,0,1,1,22.644,0.248,23.139,91.449,-190.132,12.485,12.246,0.119,102.708,-183.42
269,35,M,0,4,2,47.366,0.502,48.371,94.272,-200.477,16.655,16.162,0.247,65.552,-181.11
270,35,M,0,2,2,24.326,0.265,24.855,91.899,-191.163,11.175,10.59,0.292,36.208,-167.427
271,35,M,0,3,2,16.901,0.219,17.339,77.276,-183.927,21.801,21.234,0.284,74.815,-186.563
272,35,M,0,0,2,27.457,0.321,28.099,85.449,-191.813,11.607,10.853,0.377,28.773,-164.662
273,35,M,1,4,1,35.021,0.577,36.174,60.722,-190.49,10.969,10.329,0.32,32.282,-165.546
274,35,M,3,4,1,46.844,0.473,47.789,99.106,-201.001,28.621,27.355,0.633,43.229,-182.589
275,35,M,0,4,1,30.586,0.248,31.081,123.569,-198.232,12.223,11.845,0.189,62.671,-176.321
276,35,M,0,2,1,30.411,0.467,31.345,65.165,-189.54,24.198,23.697,0.25,94.784,-191.227
277,35,M,0,4,2,45.681,0.807,47.295,56.606,-193.122,12.993,11.952,0.52,22.974,-162.931
278,35,M,0,5,1,48.52,0.652,49.825,74.381,-197.611,8.076,7.677,0.2,38.477,-163.914
279,35,M,0,3,2,29.96,0.348,30.657,86.033,-193.079,29.359,27.077,1.141,23.734,-174.379
280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,35,M,0,3,2,26.696,0.314,27.325,84.942,-191.355,18.751,18.239,0.256,71.305,-183.87
282,35,M,0,3,1,24.812,0.416,25.643,59.712,-185.624,18.909,18.393,0.258,71.234,-183.969
283,35,M,0,4,1,34.988,0.767,36.522,45.624,-186.628,26.939,25.449,0.745,34.149,-178.442
284,35,M,0,4,3,27.972,0.494,28.96,56.648,-186.529,6.729,6.234,0.248,25.188,-155.407
285,35,M,0,3,1,59.3,0.833,60.965,71.203,-199.724,8.527,8.241,0.143,57.655,-170.313
286,35,M,0,2,2,25.433,0.451,26.335,56.39,-185.187,14.153,13.603,0.275,49.381,-174.975
287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,35,M,0,3,3,23.424,0.44,24.305,53.211,-183.298,14.612,14.017,0.298,47.108,-174.745
289,35,M,0,4,2,37.092,0.375,37.842,98.964,-197.839,24.387,24.11,0.139,173.867,-199.627
290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,35,M,2,4,1,29.498,0.565,30.629,52.165,-186.134,7.571,7.123,0.224,31.758,-160.322
292,35,M,0,3,2,20.62,0.46,21.54,44.824,-179.272,10.005,9.574,0.215,44.471,-168.837
293,35,M,0,3,1,41.094,0.693,42.479,59.323,-192.329,11.585,11.001,0.292,37.673,-168.474
294,35,M,0,3,2,32.322,0.436,33.193,74.201,-192.109,9.136,8.716,0.21,41.544,-166.656
295,35,M,0,4,1,19.883,0.255,20.394,77.857,-186.215,18.539,18.191,0.174,104.524,-188.983
296,35,F,2,2,1,43.12,0.683,44.487,63.12,-193.812,10.941,9.159,0.891,10.28,-148.522
297,35,F,1,4,2,33.782,0.435,34.651,77.717,-193.327,11.474,11.032,0.221,50.007,-172.324
298,35,F,0,1,1,20.079,0.213,20.505,94.38,-188.938,10.412,9.826,0.293,33.505,-165.373
299,35,F,1,3,1,28.855,0.34,29.535,84.883,-192.392,32.619,31.609,0.505,62.579,-189.515
300,35,F,1,3,3,27.106,0.212,27.53,128.107,-197.092,33.053,32.061,0.496,64.609,-190.136
301,35,F,0,5,1,35.751,0.482,36.714,74.213,-193.469,11.011,9.767,0.622,15.692,-155.08
302,35,F,0,3,1,16.37,0.276,16.922,59.304,-179.933,7.894,7.24,0.327,22.134,-155.681
303,35,F,0,3,2,28.888,0.361,29.61,79.956,-191.602,21.61,20.619,0.495,41.616,-178.272
304,35,F,0,4,2,22.066,0.295,22.656,74.809,-187.08,12.901,12.05,0.425,28.336,-165.866
305,35,F,1,3,2,20.325,0.31,20.945,65.554,-184.195,20.493,20.095,0.199,100.84,-189.84
306,35,F,0,3,1,18.048,0.281,18.61,64.198,-182.314,21.709,21.178,0.265,79.784,-187.394
307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,35,F,0,2,4,40.335,0.477,41.289,84.581,-196.854,7.744,7.363,0.19,38.677,-163.421
309,35,F,0,3,1,19.84,0.287,20.413,69.23,-184.605,14.735,14.089,0.323,43.615,-173.776
310,35,F,0,1,1,25.485,0.326,26.137,78.23,-189.621,13.053,12.621,0.216,58.424,-176.23
311,35,F,0,3,1,21.751,0.335,22.422,64.872,-184.968,12.45,11.954,0.248,48.169,-172.901
312,35,F,1,3,1,15.925,0.268,16.462,59.317,-179.565,15.116,14.686,0.215,68.261,-180.365
313,35,F,1,3,2,30.725,0.501,31.726,61.357,-188.868,12.399,10.974,0.713,15.402,-156.398
314,35,F,0,3,2,17.862,0.432,18.725,41.368,-176.258,23.933,21.074,1.429,14.743,-164.594
315,35,F,0,4,2,24.73,0.299,25.328,82.645,-189.955,15.541,14.813,0.364,40.7,-173.52
316,35,F,0,4,1,35.999,0.601,37.202,59.862,-190.669,17.374,16.732,0.321,52.047,-178.47
317,35,F,0,2,1,22.289,0.432,23.154,51.561,-182.205,24.648,23.952,0.348,68.849,-187.066
318,35,F,0,5,2,42.059,0.582,43.224,72.233,-195.292,10.416,9.503,0.456,20.817,-158.517
319,35,F,0,4,3,33.31,0.42,34.151,79.254,-193.401,9.052,8.516,0.268,31.769,-162.732
320,35,F,0,3,1,25.803,0.216,26.235,119.406,-195.481,12.917,12.362,0.277,44.564,-172.305
321,35,F,0,4,2,36.225,0.524,37.272,69.173,-192.699,16.845,16.129,0.358,45.091,-176.045
322,35,F,1,3,3,23.31,0.424,24.158,54.968,-183.669,16.724,15.643,0.54,28.952,-169.668
323,35,F,0,2,2,20.95,0.247,21.443,84.843,-188.075,21.118,20.753,0.182,113.804,-191.903
324,35,F,0,2,2,38.992,0.455,39.901,85.769,-196.585,8.671,8.301,0.185,44.879,-167.038
325,35,F,1,4,1,32.633,0.486,33.606,67.085,-190.881,11.21,10.657,0.277,38.531,-168.349
326,35,F,0,3,2,41.871,0.536,42.943,78.052,-196.275,18.223,17.722,0.25,70.834,-183.393
327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.547,10.36,0.594,17.449,-157.303
328,35,F,0,3,2,13.934,0.211,14.356,65.981,-179.2,17.958,17.42,0.269,64.697,-181.941
329,35,F,0,2,2,21.872,0.28,22.431,78.226,-187.562,8.533,7.967,0.283,28.193,-160.227
330,35,F,0,3,2,27.208,0.37,27.948,73.505,-189.663,8.539,8.061,0.239,33.709,-162.789
331,35,F,0,4,2,34.974,0.332,35.638,105.349,-197.89,8.402,7.469,0.466,16.019,-151.747
332,35,F,1,4,2,32.639,0.283,33.206,115.3,-198.175,13.683,13.19,0.247,53.474,-175.632
333,35,F,0,4,2,16.008,0.262,16.531,61.173,-180.05,38.616,35.949,1.333,26.959,-179.91
334,35,F,1,3,1,24.424,0.428,25.28,57.068,-184.802,10.989,9.831,0.579,16.994,-156.242
335,35,F,0,3,1,22.57,0.31,23.19,72.848,-187.026,6.974,6.71,0.132,50.81,-165.844
336,35,F,0,3,1,29.852,0.392,30.637,76.072,-191.374,19.011,18.081,0.465,38.861,-175.58
337,35,F,0,3,1,30.424,0.212,30.849,143.239,-200.15,13.89,13.254,0.318,41.678,-172.342
338,35,F,0,3,4,38.306,0.493,39.292,77.758,-195.026,24.072,23.462,0.305,76.897,-188.277
339,35,F,0,4,2,11.532,0.14,11.813,82.21,-179.614,24.566,23.356,0.605,38.599,-178.936
340,35,F,0,2,2,49.8,0.64,51.081,77.768,-198.561,10.143,9.727,0.208,46.814,-169.741
341,35,F,0,4,3,21.391,0.269,21.928,79.622,-187.501,11.092,10.739,0.176,60.848,-174.603
342,35,F,0,3,2,40.587,0.492,41.571,82.517,-196.605,8.438,7.986,0.226,35.354,-163.305
343,35,F,0,4,2,34.281,0.479,35.239,71.624,-192.425,10.655,9.913,0.371,26.744,-162.459
344,35,F,0,3,2,24.942,0.369,25.681,67.552,-187.356,13.529,13.082,0.223,58.574,-176.748
345,35,F,0,4,3,30.013,0.525,31.062,57.187,-187.605,8.772,8.149,0.312,26.157,-159.521
346,35,F,0,4,2,22.108,0.379,22.866,58.32,-183.753,13.667,13.106,0.281,46.648,-173.707
347,35,F,1,3,1,27.955,0.51,28.976,54.781,-186.07,13.903,13.356,0.274,48.795,-174.568
348,35,F,0,3,1,20.041,0.286,20.613,70.073,-184.903,19.481,17.655,0.913,19.336,-165.862
349,35,F,0,4,2,18.252,0.283,18.818,64.511,-182.531,19.148,18.104,0.522,34.701,-174.074
350,35,F,0,4,2,34.736,0.715,36.167,48.552,-187.369,14.006,12.515,0.745,16.79,-159.329
351,35,F,0,3,2,29.084,0.392,29.868,74.137,-190.676,9.985,9.727,0.129,75.322,-176.144
352,35,F,3,4,2,31.956,0.471,32.898,67.879,-190.757,14.905,14.26,0.322,44.271,-174.14
353,35,F,0,1,2,17.101,0.185,17.471,92.35,-186.484,11.942,11.316,0.313,36.174,-168.307
354,35,F,0,4,2,28.043,0.66,29.363,42.476,-182.687,15.006,14.242,0.382,37.29,-171.812
355,35,F,0,3,1,20.388,0.333,21.054,61.228,-183.318,16.573,15.718,0.427,36.782,-172.955
356,35,F,0,3,2,30.39,0.416,31.221,73.139,-191.085,10.177,9.549,0.314,30.372,-163.667
357,35,F,1,4,2,42.018,0.601,43.221,69.882,-194.834,8.443,8.021,0.211,38.01,-164.34
358,35,F,0,3,2,24.258,0.323,24.904,75.057,-188.4,20.432,18.921,0.755,25.046,-170.278
359,35,F,0,4,2,30.199,0.207,30.612,146.051,-200.311,8.659,8.214,0.223,36.872,-164.25
360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,35,F,0,4,2,24.94,0.492,25.924,50.694,-183.489,10.067,9.602,0.232,41.318,-167.885
362,35,F,1,4,2,29.422,0.517,30.456,56.902,-187.27,6.613,6.047,0.283,21.37,-152.784
363,35,F,0,4,2,27.407,0.307,28.022,89.159,-192.361,14.89,13.952,0.469,29.751,-168.494
364,35,F,0,4,1,18.704,0.285,19.273,65.65,-183.096,6.264,5.848,0.208,28.173,-156.055
365,35,F,0,4,2,25.518,0.484,26.485,52.752,-184.333,8.419,7.547,0.436,17.316,-152.935